Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1005996,New Haven Harbor,NEW HAVEN,CT,06512,600 Connecticut Avenue,41.2836,-72.9042,"138,102.15","137,626.70",140.50,334.95,"2,357.91","135,744.24"
1000715,New Madrid Power Plant,NEW MADRID,MO,63869,41 ST JUDE INDUSTRIAL PARK,36.5147,-89.5617,"6,806,380.49","6,753,048.20","19,507.50","33,824.79",485.30,"6,805,895.19"
1004988,"New Process Gear, Inc.",East Syracuse,NY,13057,6600 New Venture Gear Drive,43.090249,-76.06457,"29,066.29","29,038.00",12.50,15.79,"29,066.29",
1003927,New Quitman CPF-1,Quitman,AR,72131,150 Buffalo Road,35.348293,-92.209879,"26,662.30","26,634.90",12.50,14.90,"26,662.30",
1003928,New Quitman CPF-2,Quitman,AR,72131,#28 Pumpkin Center Circle,35.414689,-92.184329,"25,992.55","25,965.70",12.25,14.60,"25,992.55",
1009604,New York Presbyterian Hospital,New York,NY,10032,622 West 168th Street,40.841332,-73.940374,"61,958.66","61,665.10",86.75,206.81,"61,958.66",
1009696,New York Presbyterian Hospital- 525 E 68th St,New York,NY,10021,525 E 68th Street,40.624065,-73.916298,"131,589.07","130,970.10",183.00,435.97,"131,589.07",
1005938,"New-Indy Ontario, LLC",ONTARIO,CA,91761,5100 JURUPA ST,34.04807,-117.53933,"232,100.28","231,860.80",109.25,130.23,"232,100.28",
1006048,New-Indy Oxnard LLC,OXNARD,CA,93033,5936 PERKINS ROAD,34.14176,-119.18398,"118,725.10","118,602.60",55.75,66.75,"118,725.10",
1001239,Newark Bay Cogen,NEWARK,NJ,07105,414 462 AVE P,40.7197,-74.13,"171,385.16","171,210.90",79.50,94.76,669.40,"170,715.77"
1003433,"Newark Station - Dominion Transmission, Inc",Nashport,OH,43830,19042 Nashport Road SE,40.0708,-82.1949,"42,998.29","42,953.90",20.25,24.14,"42,998.29",
1001181,Newington,NEWINGTON,NH,03801,165 GOSLING RD,43.0974,-70.7834,"204,253.07","203,962.80",107.00,183.27,"7,487.48","196,765.59"
1006966,Newman,EL PASO,TX,79934,4900 STAN ROBERTS ST,31.9858,-106.4322,"1,239,763.70","1,238,504.40",574.50,684.80,90.70,"1,239,673.00"
1004401,Newman,Stuart,OK,74570,,34.97363,-95.99504,"36,368.41","36,330.60",17.25,20.56,"36,368.41",
1007109,Newport-Laguna Compressor Station,Gillette,WY,82716,,44.016,-105.9864,"31,561.93","31,529.60",14.75,17.58,"31,561.93",
1001005,Newton,NEWTON,IL,62448,6725 N 500TH,38.9361,-88.2778,"7,562,678.69","7,503,389.80","21,687.25","37,601.64",,"7,562,678.69"
1007591,Newton County Landfill,Deweyville,TX,77614,2372 County Road 3870,30.342033,-93.848444,"180,314.10",,"180,314.10",,,
1001235,"Niagara Generation, LLC",NIAGARA FALLS,NY,14304,5300 FRONTIER AVE,43.0804,-79.0082,"82,073.49","80,436.90",636.50,"1,000.09",,"82,073.49"
