Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation
1010794,Rothschild Biomass Cogeneration Plant,Rothschild,WI,54474,210 N. Grand Avenue,44.89,-89.63,40859.1,35823.7,733.8,4301.6,30097.1,10761.9
1012599,Roundtop Energy LLC,Meshoppen,PA,18630,960 State Route 267,41.66,-76.05,27397.6,27369.1,13.0,15.5,27397.6,
1001068,"Rousselot Peabody, Inc.",PEABODY,MA,01960,227 WASHINGTON ST.,42.52,-70.94,41019.5,40977.3,19.3,22.9,41019.5,
1000787,Roxboro Steam Electric Plant,SEMORA,NC,27343,1700 DUNNAWAY ROAD,36.48,-79.07,5893158.1,5843501.4,19700.5,29956.2,,5890735.1
1011553,"Roxul USA, Inc.",Byhalia,MS,38611,4594 Cayce Road,34.98,-89.62,37074.0,36850.6,82.8,140.7,37068.7,
1010671,Royalton Road Sanitary Landfill,Broadview Heights,OH,44147,3401 East Royalton Road,41.31,-81.66,37789.5,,37789.5,,,
1010048,Ruby Energy,Delbarton,WV,25670,170 Scarlet Rd,37.78,-82.15,49250.0,,49250.0,,,
1003871,Rumble Landfill #2,Sugar Creek,MO,64050,2031 N. Courtney Road,39.14,-94.40,2955.6,43.1,2912.3,0.3,43.6,
1001312,Rumford Power LLC,RUMFORD,ME,04276,43 INDUSTRIAL PARK ROAD,44.53,-70.52,63685.8,63621.1,29.5,35.2,329.5,63356.2
1004856,Rumpke Sanitary Landfill,Cincinnati,OH,45251,10795 Hughes Rd,39.27,-84.60,231715.9,1357.6,230326.8,31.6,1402.7,
1001035,Rush Island,FESTUS,MO,63028,100 BIG HOLLOW ROAD,38.13,-90.26,7079950.6,7024447.1,20302.5,35201.0,19.4,7079931.2
1000501,Russell City Energy Company LLC,Hayward,CA,94545,3862 Depot Road,37.63,-122.13,399526.2,399123.4,183.8,219.0,,399526.2
1005495,Rutgers Health Science Campus at Newark,Newark,NJ,07101,30 Bergen Street ADMC #2 Suite 207,40.74,-74.19,65314.0,65246.6,30.8,36.7,65314.0,
1013519,Ryobi Die Casting,Shelbyville,IN,46176,800 W. Mausoleum Road,39.54,-85.79,41700.1,41656.8,19.8,23.5,41700.1,
1007636,S & S GRADING INC LANDFILL,CLARKSBURG,WV,26301,4439 Good Hope Pike,39.29,-80.36,66678.0,1208.3,65467.0,2.7,1212.2,
1000784,S A Carlson,JAMESTOWN,NY,14702,136 STEELE ST,42.09,-79.24,66338.9,66269.3,31.8,37.8,787.1,65551.7
1005123,S D WARREN CO,WESTBROOK,ME,04092,89 CUMBERLAND STREET,43.68,-70.35,56868.0,52839.5,668.5,3360.0,56868.0,
1001501,S O Purdom,ST MARKS,FL,32355,HWY 363,30.16,-84.20,418029.3,417604.6,193.8,231.0,1.2,418028.1
1009615,S&C Electric Company,Chicago,IL,60626,6601 N. Ridge Blvd.,42.00,-87.68,36092.8,8853.4,4.3,5.1,8862.7,
1007511,"SABIC INNOVATIVE PLASTICS MT. VERNON, LLC",MOUNT VERNON,IN,47620,1 LEXAN LN,37.91,-87.93,596349.1,595733.7,280.8,334.7,596349.1,
1003275,SABIC INNOVATIVE PLASTICS US LLC,WASHINGTON,WV,26181,9226 DuPont Road,39.27,-81.68,5178.5,,5178.5,,,
1001136,SABIC Innovative Plastics - Burkville,BURKVILLE,AL,36752,1 PLASTICS DR,32.31,-86.52,410843.3,410424.6,191.0,227.7,65093.0,345750.3
1003842,SABIC Innovative Plastics US LLC,OTTAWA,IL,61350,2148 NORTH 2753RD ROAD,41.33,-88.76,26725.5,26698.1,12.5,14.9,26725.5,
1002223,SABINE PARISH LANDFILL,MANY,LA,71443,955 SABINE LANDFILL ROAD,31.61,-93.56,127574.8,0.0,127574.8,,0.0,
1003382,SABINE RIVER OPERATIONS,ORANGE,TX,77631,3055 FARM RD. 1006,30.05,-93.75,880743.2,865244.3,13931.8,1567.2,738288.3,
1003276,SAFETY-KLEEN SYSTEMS,EAST CHICAGO,IN,46312,601 RILEY RD,41.65,-87.48,76640.1,76525.8,44.0,70.3,76640.1,
1003647,SAGUARO POWER COMPANY,HENDERSON,NV,89009,435 FOURTH STREET  HENDERSON,36.04,-114.98,349084.3,348723.7,164.5,196.1,349084.3,
1001925,SAINT JOSEPH SANITARY LANDFILL,SAINT JOSEPH,MO,64507,9431 50TH ROAD SOUTHEAST,39.67,-94.77,47418.7,45.7,47373.0,,45.7,
1006686,SAINT MARYS HOSPITAL,ROCHESTER,MN,55902,1216 2ND STREET SOUTHWEST,44.02,-92.48,48315.1,48264.7,23.0,27.4,48315.1,
1003037,"SAINT-GOBAIN ABRASIVES and SAINT-GOBAIN CERAMICS & PLASTICS, INC.",WORCESTER,MA,01615,1 NEW BOND STREET,42.30,-71.80,69941.2,69868.3,33.3,39.6,69941.2,
1007261,SALEM COUNTY IMPROVEMENT AUTHORITY LANDFILL,ALLOWAY,NJ,08001,52 MCKILLIP RD,39.59,-75.37,81143.5,18.2,81125.3,,18.2,
1003265,SALEM LANDFILL,OPELIKA,AL,36804,4210 LEE RD #183,32.65,-85.37,56048.0,194.4,55853.0,0.6,195.2,
1002550,SALINA MUNICIPAL SOLID WASTE LANDFILL,SALINA,KS,67402,4292 SOUTH BURMA ROAD,38.76,-97.69,77935.0,22.7,77912.3,,22.7,
1006513,SALINE COUNTY REGIONAL WASTE MGMT DISTRICT LANDFILL,BAUXITE,AR,72011,1851 W SARDIS RD,34.53,-92.41,5009.5,,5009.5,,,
1003471,SALT LAKE VALLEY SOLID WASTE MANAGEMENT: SALT LAKE VALLEY LANDFILL & TRANSFER ST,SALT LAKE CITY,UT,84104,6030 WEST 1300 SOUTH,40.64,-111.93,80154.8,34.0,80120.8,,34.0,
1004118,"SAMPSON COUNTY DISPOSAL, LLC",ROSEBORO,NC,28382,7434 ROSEBORO HIGHWAY,34.96,-78.45,263386.0,,263386.0,,,
1003044,SAN ANGELO LANDFILL,SAN ANGELO,TX,76905,"3002 OLD BALLINGER HWY, SAN AN",31.51,-100.39,22859.0,,22859.0,,,
1006395,SAN FRANCISCO REFINERY AT RODEO,RODEO,CA,94572,1380 SAN PABLO AVENUE,38.04,-122.25,1481464.3,1474735.7,2714.3,4014.4,1117442.6,
1002565,SAN JOAQUIN REFINING CO INC,BAKERSFIELD,CA,93308,3500 SHELL STREET,35.40,-119.05,95566.2,95012.8,492.0,61.4,66247.0,
1003565,SAN JUAN COUNTY REGIONAL LANDFILL,AZTEC,NM,87410,"3140 #78, 8 MILES NE OF FARMIN",36.77,-108.05,67365.2,187.2,67177.8,0.3,187.5,
1006215,SAN MARCOS LANDFILL,SAN MARCOS,CA,92069,1595 SAN ELIJO ROAD,33.10,-117.18,4669.8,,4669.8,,,
1004692,SAN TIMOTEO SOLID WASTE DISPOSAL SITE(REDLANDS),REDLANDS,CA,92373,"31 REFUSE ROAD, 2 MILES S OF B",34.01,-117.22,11202.0,,11202.0,,,
1006304,SAND VALLEY LANDFILL,COLLINSVILLE,AL,35961,3345 COUNTY ROAD 209,34.34,-85.86,71804.4,7.1,71797.3,,7.1,
1003508,SANDERS LEAD COMPANY INCORPORATED,TROY,AL,36079,100 SANDERS ROAD,31.79,-85.98,216550.6,216523.7,12.3,14.6,25851.8,
1002096,SANGAMON VALLEY LANDFILL INC,SPRINGFIELD,IL,62707,2565 SANDHILL RD,39.86,-89.61,14802.9,33.6,14769.3,,33.6,
1000360,SANIMAX USA LLC,GREEN BAY,WI,54303,2099 BADGERLAND DRIVE,44.54,-88.08,24412.1,24386.9,11.5,13.7,24412.1,
1006361,SANOFI PASTEUR,SWIFTWATER,PA,18370,1 DISCOVERY DRIVE,41.09,-75.32,36096.9,36059.1,17.3,20.6,36096.9,
1004882,SANTA MARIA REGIONAL LANDFILL,SANTA MARIA,CA,93454,2065 EAST MAIN STREET,34.95,-120.38,5665.0,15.7,5649.3,,15.7,
1000010,SANTA ROSA CENTRAL LANDFILL,MILTON,FL,32583,6337 DELISA RD.,30.58,-87.06,125328.3,,125328.3,,,
1005086,SANTEE PRINT WORKS INCORPORATED,SUMTER,SC,29153,19 PROGRESS ST.,33.92,-80.32,32186.6,32144.9,17.3,24.4,32186.6,
1001995,SAPPI CLOQUET LLC,CLOQUET,MN,55720,2201 AVENUE B,46.72,-92.43,127199.7,108793.7,13610.3,4795.7,61440.6,
1006847,SAPUTO CHEESE USA INC,WAUPUN,WI,53963,N3545 CTH EE,43.64,-88.74,34311.3,34276.2,16.0,19.1,34311.3,
1002230,SAPUTO CHEESE USA INC,TULARE,CA,93274,800 EAST PAIGE AVENUE,36.18,-119.34,70276.6,70204.3,33.0,39.3,70276.6,
1001935,SARPY COUNTY SANITARY LANDFILL,SPRINGFIELD,NE,68059,14414 South 156th Street,41.10,-96.16,88598.5,0.0,88598.5,,0.0,
1003687,SAUK TRAIL HILLS LANDFILL,CANTON TWP,MI,48188,5011 LILLEY ROAD,42.27,-83.46,91046.7,49.2,90997.5,,49.2,
1005782,SAVAGE CANYON LANDFILL,WHITTIER,CA,90602,13919 EAST PENN STREET,33.98,-118.02,11161.8,,11161.8,,,
1007270,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC - SAVANNAH RIVER SITE,AIKEN,SC,29808,,33.34,-81.74,23891.6,19016.0,797.5,4078.1,23891.6,
1001882,SAVANNAH SUGAR REFINERY,PORT WENTWORTH,GA,31407,201 OXNARD DRIVE,32.14,-81.15,140746.2,140317.8,165.3,263.1,140746.2,
1005314,SAVANNAH-DEAN FOREST ROAD LANDFILL,SAVANNAH,GA,31405,1327 DEAN FOREST RD,32.06,-81.21,138616.5,,138616.5,,,
1003248,SC JOHNSON & SON INC WAXDALE FACILITY,STURTEVANT,WI,53177,8311 16TH ST,42.71,-87.88,26443.9,26335.6,36.5,71.8,26443.9,
1004113,SCA Tissue,South Glens Falls,NY,12803,One River St.,43.30,-73.64,30760.3,30728.5,14.5,17.3,30760.3,
1002564,SCOTT AREA SANITARY LANDFILL,DAVENPORT,IA,52804,11555 110TH AVENUE,41.47,-90.69,100396.9,30.4,100366.5,,30.4,
1003281,SEABREEZE ENVIRONMENTAL LANDFILL,ANGLETON,TX,77516,10310 FM 528 RD,29.18,-95.43,620049.5,0.0,620049.5,,0.0,
1006359,SEADRIFT COKE L.P.,PORT LAVACA,TX,77979,8618 STATE HIGHWAY 185 NORTH,28.51,-96.79,113549.7,113114.0,130.3,305.5,113549.7,
1001801,SEAWATER INJECTION PLANT,Prudhoe Bay,AK,99734,,70.26,-148.45,103283.3,103187.9,43.5,51.9,103283.3,
1007371,SEAWATER TREATMENT PLANT,Prudhoe Bay,AK,99734,,70.41,-148.53,103877.8,103781.9,43.8,52.2,103877.8,
1009925,SECCRA Community Landfill,West Grove,PA,19390,219 Street Road,39.87,-75.84,33111.3,,33104.8,6.6,9.6,
1005710,SEMASS PARTNERSHIP RESOURCE RECOVERY FACILITY,ROCHESTER,MA,02770,141 CRANBERRY HIGHWAY ROUTE 28,41.80,-70.79,354158.9,334593.0,7629.3,11936.7,354158.9,
1005638,SEMINOLE ROAD MSW LANDFILL,ELLENWOOD,GA,30294,4203 CLEVEMONT ROAD,33.66,-84.26,312905.8,260.1,312625.8,20.0,288.6,
1007613,SENECA EAST LANDFILL,REPUBLIC,OH,44867,2780 COUNTY ROAD 43,41.16,-83.05,21434.3,,21434.3,,,
