Facility Id,Facility Name,City,State,Zip Code,Address,Latitude,Longitude,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Stationary Combustion,Electricity Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000034,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,41.63,-93.58,151811.6,150758.8,386.8,666.0,151811.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014236,ADM Southport,Southport,NC,28461,1730 E Moore Street SE,33.95,-78.00,89098.3,89005.1,42.3,51.0,89098.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011961,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,30.83,-83.25,63148.0,63078.5,30.8,38.7,63148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001991,ADRIAN LANDFILL,ADRIAN,MI,49221,1970 N OGDEN HWY,41.89,-84.06,6471.8,,6471.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001633,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,35131,1319 NO BUSINESS CREEK ROAD,33.68,-86.25,24218.3,,24218.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001636,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,31601,2995 WETHERINGTON LANE,30.81,-83.36,118347.0,,118347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006790,ADS-STAR RIDGE LANDFILL,MOODY,AL,35004,3301 ACMAR ROAD,33.61,-86.51,30115.3,,30115.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002094,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,61704,2105 W OAKLAND AVE,40.47,-89.03,3525.5,,3525.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001845,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,WI,54495,2510 ENGEL ROAD,44.41,-89.85,21202.7,357.4,20843.5,1.8,359.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003038,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,MO,63552,31226 INTREPID ROAD,39.73,-92.54,31791.7,80.2,31711.5,,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
